,portfolio,month,year,Source,Generation
1781,2,2,2019,weather_adj,3.98
1782,2,3,2019,weather_adj,20.0
1783,2,4,2019,weather_adj,24.5
1784,2,5,2019,weather_adj,27.49
1785,2,6,2019,weather_adj,32.16
1786,2,7,2019,weather_adj,36.65
1787,2,8,2019,weather_adj,33.98
1788,2,9,2019,weather_adj,23.96
1789,2,10,2019,weather_adj,18.28
1790,2,11,2019,weather_adj,7.87
1791,2,12,2019,weather_adj,6.6
1792,2,1,2019,weather_adj,0.16
1793,2,2,2019,weather_adj,3.68
1794,2,3,2019,weather_adj,18.25
1795,2,4,2019,weather_adj,23.77
1796,2,5,2019,weather_adj,27.97
1797,2,6,2019,weather_adj,35.53
1798,2,7,2019,weather_adj,37.13
1799,2,8,2019,weather_adj,35.1
1800,2,9,2019,weather_adj,24.01
1801,2,10,2019,weather_adj,19.63
1802,2,11,2019,weather_adj,6.01
1803,2,12,2019,weather_adj,5.14
2792,2,1,2019,pv_syst,18.9
2793,2,2,2019,pv_syst,27.15
2794,2,3,2019,pv_syst,56.74
2795,2,4,2019,pv_syst,69.04
2796,2,5,2019,pv_syst,83.53
2797,2,6,2019,pv_syst,88.69
2798,2,7,2019,pv_syst,89.08
2799,2,8,2019,pv_syst,74.43
2800,2,9,2019,pv_syst,66.86
2801,2,10,2019,pv_syst,48.75
2802,2,11,2019,pv_syst,26.85
2803,2,12,2019,pv_syst,20.62
2804,2,1,2019,pv_syst,14.57
2805,2,2,2019,pv_syst,19.0
2806,2,3,2019,pv_syst,51.27
2807,2,4,2019,pv_syst,65.65
2808,2,5,2019,pv_syst,80.97
2809,2,6,2019,pv_syst,87.94
2810,2,7,2019,pv_syst,88.54
2811,2,8,2019,pv_syst,72.46
2812,2,9,2019,pv_syst,62.87
2813,2,10,2019,pv_syst,43.89
2814,2,11,2019,pv_syst,23.29
2815,2,12,2019,pv_syst,16.12
2816,2,1,2019,pv_syst,9.0
2817,2,2,2019,pv_syst,11.9
2818,2,3,2019,pv_syst,33.15
2819,2,4,2019,pv_syst,42.45
2820,2,5,2019,pv_syst,52.43
2821,2,6,2019,pv_syst,56.89
2822,2,7,2019,pv_syst,57.2
2823,2,8,2019,pv_syst,46.84
2824,2,9,2019,pv_syst,40.9
2825,2,10,2019,pv_syst,28.49
2826,2,11,2019,pv_syst,14.94
2827,2,12,2019,pv_syst,10.22
2828,2,1,2019,pv_syst,16.75
2829,2,2,2019,pv_syst,23.93
2830,2,3,2019,pv_syst,54.89
2831,2,4,2019,pv_syst,69.92
2832,2,5,2019,pv_syst,85.86
2833,2,6,2019,pv_syst,91.48
2834,2,7,2019,pv_syst,91.84
2835,2,8,2019,pv_syst,77.1
2836,2,9,2019,pv_syst,67.02
2837,2,10,2019,pv_syst,48.39
2838,2,11,2019,pv_syst,26.34
2839,2,12,2019,pv_syst,19.85
2840,2,1,2019,pv_syst,30.44
2841,2,2,2019,pv_syst,43.55
2842,2,3,2019,pv_syst,63.15
2843,2,4,2019,pv_syst,76.24
2844,2,5,2019,pv_syst,85.22
2845,2,6,2019,pv_syst,91.48
2846,2,7,2019,pv_syst,94.46
2847,2,8,2019,pv_syst,84.93
2848,2,9,2019,pv_syst,66.02
2849,2,10,2019,pv_syst,51.55
2850,2,11,2019,pv_syst,27.62
2851,2,12,2019,pv_syst,23.96
2852,2,1,2019,pv_syst,5.28
2853,2,2,2019,pv_syst,8.48
2854,2,3,2019,pv_syst,19.67
2855,2,4,2019,pv_syst,25.28
2856,2,5,2019,pv_syst,31.25
2857,2,6,2019,pv_syst,33.46
2858,2,7,2019,pv_syst,33.44
2859,2,8,2019,pv_syst,27.41
2860,2,9,2019,pv_syst,23.88
2861,2,10,2019,pv_syst,16.77
2862,2,11,2019,pv_syst,8.88
2863,2,12,2019,pv_syst,6.44
2864,2,1,2019,pv_syst,6.96
2865,2,2,2019,pv_syst,11.27
2866,2,3,2019,pv_syst,22.28
2867,2,4,2019,pv_syst,28.98
2868,2,5,2019,pv_syst,32.91
2869,2,6,2019,pv_syst,34.3
2870,2,7,2019,pv_syst,35.33
2871,2,8,2019,pv_syst,30.89
2872,2,9,2019,pv_syst,23.46
2873,2,10,2019,pv_syst,17.08
2874,2,11,2019,pv_syst,8.97
2875,2,12,2019,pv_syst,6.31
