plant_id,portfolio,month,year,MW_gen,pv_syst,irradiance,pv_irradiance,weather_adj,,
8,1,12,2018,0,0,,,,,
9,1,1,2018,18.32,8.09,,,,,
9,1,2,2018,12.77,9.19,,,,,
9,1,3,2018,36.48,14.54,,,,,
9,1,4,2018,37.59,15.27,,,,,
9,1,5,2018,44.4,15.98,,,,,
9,1,6,2018,43.9,16.26,,,,,
9,1,7,2018,47.36,16.44,,,,,
9,1,8,2018,43.63,15.26,,,,,
9,1,9,2018,32.02,13.42,,,,,
9,1,10,2018,24.59,13.17,,,,,
9,1,11,2018,11.47,12.45,,,,,
9,1,12,2018,0,0,,,,,
10,1,1,2018,18.37,8.09,,,,,
10,1,2,2018,12.64,9.19,,,,,
10,1,3,2018,25.41,14.54,,,,,
10,1,4,2018,37.7,15.27,,,,,
10,1,5,2018,44.56,15.98,,,,,
10,1,6,2018,44.19,16.26,,,,,
10,1,7,2018,47.73,16.44,,,,,
10,1,8,2018,44.05,15.26,,,,,
10,1,9,2018,31.52,13.42,,,,,
10,1,10,2018,18.56,13.17,,,,,
10,1,11,2018,9.7,12.45,,,,,
10,1,12,2018,0,0,,,,,
11,1,1,2018,13.29,8.09,,,,,
11,1,2,2018,12.34,9.19,,,,,
11,1,3,2018,35.71,14.54,,,,,
11,1,4,2018,34.14,15.27,,,,,
11,1,5,2018,47.89,15.98,,,,,
11,1,6,2018,42.67,16.26,,,,,
11,1,7,2018,49.68,16.44,,,,,
11,1,8,2018,41.65,15.26,,,,,
11,1,9,2018,29.93,13.42,,,,,
11,1,10,2018,21.31,13.17,,,,,
11,1,11,2018,9.48,12.45,,,,,
11,1,12,2018,0,0,,,,,
12,1,1,2018,11.58,8.09,,,,,
12,1,2,2018,12.83,9.19,,,,,
12,1,3,2018,35.56,14.54,,,,,
12,1,4,2018,32.66,15.27,,,,,
12,1,5,2018,47.33,15.98,,,,,
12,1,6,2018,44.48,16.26,,,,,
12,1,7,2018,48.49,16.44,,,,,
12,1,8,2018,38.92,15.26,,,,,
12,1,9,2018,34.01,13.42,,,,,
12,1,10,2018,19.95,13.17,,,,,
12,1,11,2018,9.15,12.45,,,,,
12,1,12,2018,10.36,10.27,,,,,
13,1,1,2018,7.15,8.09,,,,,
13,1,2,2018,18.12,9.19,,,,,
13,1,3,2018,41.96,14.54,,,,,
13,1,4,2018,48.05,15.27,,,,,
13,1,5,2018,49.49,15.98,,,,,
13,1,6,2018,19.9,16.26,,,,,
13,1,7,2018,30.25,16.44,,,,,
13,1,8,2018,37.45,15.26,,,,,
13,1,9,2018,29.52,13.42,,,,,
13,1,10,2018,16.98,13.17,,,,,
13,1,11,2018,10.5,12.45,,,,,
13,1,12,2018,6.37,6.23,,,,,
14,1,1,2018,3.8,8.09,,,,,
14,1,2,2018,6.35,9.19,,,,,
14,1,3,2018,35.54,14.54,,,,,
14,1,4,2018,32.06,15.27,,,,,
